agentId,agentWallet,score,units
20252,0x293b692a0a563F97bA00ff4d5f4f292dE899281F,65.31,20
20483,0xc3EA98811B492870664932252c449D30BF6b1A5f,65.24,10
20482,0x293b692a0a563F97bA00ff4d5f4f292dE899281F,65.15,20
22856,0x1a85ca464AdB76808f6B840954956Af350A555Db,65.09,10
23848,0x03F75f2d6903f5BC7b2a77bdDaC775188fF93c4c,63.65,10
19222,0x66ca5489a8fEfe67dc4431220D92aD96fDA9481c,63.54,50
23936,0x750731f7648aa4AE8aE00965847120834f0eB9C2,63.45,10
23505,0xA6c336240E20179ef4dD0618b46FF0a5f5e3Dad5,63.4,10
23813,0x3db63755C12264C319094948018dCDd2082a2aA0,63.4,10
24033,0x33C17157dA605f659876cfB5b211AF05458B8c91,63.4,10
19231,0x32ea57Ba5Ba35571497c9045A9AD51Dca8B7D807,63.39,60
19237,0x9f080983C678c6639f9A4dE8f1feACE2B2A1a54C,63.37,30
23379,0x67a55EC45e9B95D23d2B8FDF1cF655B760AE1Eed,63.33,10
24134,0x25f6d74F372592805E0a49Dbf218D65bc3D0f2C1,63.33,10
24135,0xf0eA8C816E4C78901f91C5eC6B50769644413126,63.33,10
24136,0x76CD89E1D13759d56A1B5999Cf7B623A9DA5e528,63.33,10
24324,0x9048c1C26FDb58bc74E9109c5511773bf2d745D1,63.33,10
24325,0x176f6A05dc5658F57091A4485926Bad384a149B5,63.33,10
19242,0x32ea57Ba5Ba35571497c9045A9AD51Dca8B7D807,63.31,60
22300,0xe16b3F9617AAe564C7314Bb555c052Ce6524fd3f,63.31,10
23367,0x5A91FA38eD82A807BB0582D0a001231271fd2ee2,63.3,10
23429,0xFeD0086e39032FA495d3B4E47Cc508c066545305,63.3,10
23506,0x94EC278753DcCD44ABeEF0832Ab313f3E904838c,63.3,10
23545,0xb96c72e4974967a7fbcbf78d4908c6aa7091aB66,63.3,10
23590,0x2B4334082105347F4B9D586671D7Dab1b4F68A4e,63.3,10
23750,0x19ea978ce3E7A1EeB5762C08D1c6c7b2B5426Fce,63.3,10
23769,0x63315BAbE5Eb4F144a253Dcd539802F7De8939dd,63.3,10
23800,0xb076a674848Bb5cDC04646c80ACd7d3229e4B971,63.3,10
23847,0x6C9D9B71046308E5B4a26a4964b33A35236154FA,63.3,10
23866,0x14565e1Ec71995F474B83F93eBb0275eFB278747,63.3,10
23867,0x506974891A19E33a8181B72c65D9C41c0cFf19E9,63.3,10
23887,0x3471D92fcFf16697A0f3E0b9097023233B00F9F5,63.3,10
23891,0x6bE3E8F90E23E4f52b8D9A72fa9aaBd100654459,63.3,10
24029,0x761642fcAc697295833C18448e08989C9EFE08BC,63.3,10
24074,0xd91711e29035A543796b0bb55e1cf906e94BbB65,63.3,10
24117,0xaC7Be2886e8cf4e47e67d0ccD92dc7441607e5d5,63.3,10
22567,0xa5122fa7fDC67b29162FC301420FDC42bD950752,63.27,10
22744,0x44561C0e3e56049b6B1f526490F526791df2FFaa,63.27,10
23236,0xe957080bbd88fcE7b1a47278a7f1772440b65E4a,63.24,10
23244,0xf6b22427ed8690Da5d00442bBAAFa3D22728be42,63.24,10
